N,Repetition,Rate_TUM,Rate_Random,Rate_EPA
10,213,1.018967147369726,0.32649419554053155,0.9581065260735565
10,214,2.2350039419080474,1.075631951605341,1.569032322447887
10,215,3.403844941498338,2.8309965622223037,2.877933665772796
10,216,0.5693429352641913,0.25854547654408605,0.41407242653099885
10,217,1.7911716293820912,0.8250083018573341,1.3232550666463336
10,218,0.9697119557428469,0.5493787156998253,0.6998655874455082
10,219,1.479313186496539,1.0763227446136865,1.0736419673984854
10,220,1.8126814795764796,1.461505832198715,1.4518086611333654
10,221,2.1788329831255453,1.1721086209644054,1.691610105932
10,222,1.8139161659199738,0.6711958246823987,1.3719961217073244
10,223,0.6231050153269146,0.18376311629209688,0.48028568973332875
10,224,0.807932411768604,0.24995679646883323,0.6134107869960583
10,225,0.689962380986721,0.2865015324984918,0.5801990531902246
10,226,0.6283525822734114,0.18096438022095432,0.5767515846973055
10,227,2.5857980710134854,1.6240861842604264,2.1246968025413433
10,228,0.4349542605163651,0.16005165902495527,0.4349302962527558
10,229,1.5686628991146476,0.7834404976433624,1.0384796319920007
10,230,10.735154486953576,3.0035074951673613,10.535039756989882
10,231,16.146214915321455,12.098931557507731,15.932831604599862
10,232,2.5415177876220003,1.5144385966930731,2.1003956380763125
10,233,3.1868653879073077,0.9415252879585003,2.291222774520616
10,234,0.47550599041079017,0.3820775807554765,0.45147221547328176
10,235,1.9048729656834238,0.3641396850459293,1.5682131649289581
10,236,6.569606763459998,5.518616121809116,5.879828857320521
10,237,2.184067197829281,1.1025679633902847,1.5121008435644328
10,238,1.0526373072996273,0.5401060755078815,0.8132371581566964
10,239,0.9770709326111322,0.3255686479046153,0.7206397423824802
10,240,1.5174062422364831,0.769839219026968,1.0669593610671693
10,241,0.9030451315067054,0.7679285874271584,0.8205065660905311
10,242,0.9922156525058546,0.7516529769570048,0.9530878085858716
10,243,1.8056995602222286,1.007567115127106,1.5574296807350534
10,244,1.2148840308376432,0.5713411655437439,1.1843553795296318
10,245,1.2276426207594324,0.7349443169631634,0.9868125806573915
10,246,0.4237965147594054,0.22801926561296168,0.3970940199276391
10,247,4.246785970164694,1.622059875342481,2.9525702325463605
10,248,1.7726698163344015,0.4818619695273436,1.3979940081958693
10,249,2.8803992724198952,2.484308376622222,2.641454239459978
10,250,0.788256881045881,0.5332661517707525,0.6353702968116425
